IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP85	IP_PROP95	IP_PROP96	IP_PROP97	IP_PROP43	IP_PROP44	IP_PROP45	IP_PROP46	IP_PROP47	IP_PROP50	IP_PROP107	IP_PROP59	IP_PROP105	IP_PROP102	IP_PROP99	IP_PROP130	IP_PROP124	IP_PROP114	IP_PROP134	IP_PROP132	IP_PROP139	IP_PROP110	IP_PROP98	IP_PROP51	IP_PROP111	IP_PROP106	IP_PROP60	IP_PROP137	IP_PROP127	IP_PROP129	IP_PROP135	IP_PROP136	IP_PROP126	IP_PROP128	IP_PROP112	IP_PROP100	IP_PROP131	IP_PROP103	IP_PROP101	IP_PROP104	IP_PROP52	IP_PROP93	IP_PROP125	IP_PROP133	IP_PROP138	IP_PROP108	IC_GROUP0	IC_GROUP1	IC_GROUP2
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/066/066c319d9ee96a892eb070e9aa3fc4ad.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/a52/a52790d7fb7d67830f1143992d1df32e.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/17d/17df4af62c586adeee1e7d622e0f16a1.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/a81/a81df716ac684437d5e661c99474dccd.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/7ba/7baf8ed778e5d8e785eef036510e6e0e.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/5c6/5c69be89d2a8959b095d093869b06dc3.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/ea9/ea92e841fbe0bb398a1a4f50c1b38cb8.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/f5f/f5fa8c85d21e6af84c10cb107183b9cb.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/0e9/0e97b6982a90d7bd95d8596de0a2f087.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/8fc/8fccbabfa5c8221b5deb75ca6e8f5814.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
